product_id,product_name,category,month,avg_price,monthly_units,true_demand,is_launch
P1000,DeltaTech Earphones Model 1,Electronics,2024-01,1360,24.0,24,False
P1000,DeltaTech Earphones Model 1,Electronics,2024-02,1360,17.0,17,False
P1000,DeltaTech Earphones Model 1,Electronics,2024-03,1360,30.0,30,False
P1001,BetaGear Earphones Model 2,Electronics,2024-01,966,32.0,32,False
P1001,BetaGear Earphones Model 2,Electronics,2024-02,966,20.0,20,False
P1001,BetaGear Earphones Model 2,Electronics,2024-03,966,20.0,20,False
P1002,OmegaWare Earphones Model 3,Electronics,2024-01,3671,49.0,49,False
P1002,OmegaWare Earphones Model 3,Electronics,2024-02,3671,33.0,33,False
P1002,OmegaWare Earphones Model 3,Electronics,2024-03,3671,12.0,12,False
P1003,OmegaWare Earphones Model 4,Electronics,2024-01,1269,33.0,33,False
P1003,OmegaWare Earphones Model 4,Electronics,2024-02,1269,39.0,39,False
P1003,OmegaWare Earphones Model 4,Electronics,2024-03,1269,47.0,47,False
P1004,BetaGear Earphones Model 5,Electronics,2024-01,1684,21.0,21,False
P1004,BetaGear Earphones Model 5,Electronics,2024-02,1684,31.0,31,False
P1004,BetaGear Earphones Model 5,Electronics,2024-03,1684,34.0,34,False
P1005,AlphaTech Earphones Model 6,Electronics,2024-01,974,37.0,37,False
P1005,AlphaTech Earphones Model 6,Electronics,2024-02,974,25.0,25,False
P1005,AlphaTech Earphones Model 6,Electronics,2024-03,974,24.0,24,False
P1006,GammaElectro Earphones Model 7,Electronics,2024-01,2399,12.0,12,False
P1006,GammaElectro Earphones Model 7,Electronics,2024-02,2399,46.0,46,False
P1006,GammaElectro Earphones Model 7,Electronics,2024-03,2399,16.0,16,False
P1007,OmegaWare Earphones Model 8,Electronics,2024-01,3388,48.0,48,False
P1007,OmegaWare Earphones Model 8,Electronics,2024-02,3388,27.0,27,False
P1007,OmegaWare Earphones Model 8,Electronics,2024-03,3388,13.0,13,False
P1008,AlphaTech Earphones Model 9,Electronics,2024-01,2863,23.0,23,False
P1008,AlphaTech Earphones Model 9,Electronics,2024-02,2863,18.0,18,False
P1008,AlphaTech Earphones Model 9,Electronics,2024-03,2863,35.0,35,False
P1009,OmegaWare Earphones Model 10,Electronics,2024-01,1863,37.0,37,False
P1009,OmegaWare Earphones Model 10,Electronics,2024-02,1863,16.0,16,False
P1009,OmegaWare Earphones Model 10,Electronics,2024-03,1863,17.0,17,False
P1010,GammaElectro Earphones Model 11,Electronics,2024-01,3652,45.0,45,False
P1010,GammaElectro Earphones Model 11,Electronics,2024-02,3652,49.0,49,False
P1010,GammaElectro Earphones Model 11,Electronics,2024-03,3652,13.0,13,False
P1011,BetaGear Earphones Model 12,Electronics,2024-01,1521,15.0,15,False
P1011,BetaGear Earphones Model 12,Electronics,2024-02,1521,13.0,13,False
P1011,BetaGear Earphones Model 12,Electronics,2024-03,1521,38.0,38,False
P1012,BetaGear Earphones Model 13,Electronics,2024-01,661,19.0,19,False
P1012,BetaGear Earphones Model 13,Electronics,2024-02,661,45.0,45,False
P1012,BetaGear Earphones Model 13,Electronics,2024-03,661,23.0,23,False
P1013,DeltaTech Earphones Model 14,Electronics,2024-01,1516,49.0,49,False
P1013,DeltaTech Earphones Model 14,Electronics,2024-02,1516,30.0,30,False
P1013,DeltaTech Earphones Model 14,Electronics,2024-03,1516,25.0,25,False
P1014,OmegaWare Earphones Model 15,Electronics,2024-01,837,33.0,33,False
P1014,OmegaWare Earphones Model 15,Electronics,2024-02,837,35.0,35,False
